Store_ID,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
1,1659,1961,530,66490
2,1461,1752,210,39820
3,1340,1609,720,54010
4,1451,1748,620,53730
5,1770,2111,450,46620
6,1442,1733,760,45260
7,1542,1858,1030,72240
8,1261,1507,1020,37720
9,1090,1321,680,46310
10,1030,1235,1130,44150
11,1187,1439,1090,71280
12,1751,2098,720,57620
13,1746,2064,1050,60470
14,1615,1931,1160,59130
15,1469,1756,770,66360
16,1644,1950,790,78870
17,1578,1907,1440,77250
18,1703,2045,670,38170
19,1438,1731,1030,63540
20,1940,2340,980,40190
21,1421,1700,370,43460
22,1458,1746,690,68890
23,1719,2065,950,52780
24,1449,1752,620,50680
25,1234,1488,840,41880
